EOB CODE,DESCRIPTION,Rejection Code,Group Code,Reason Code,Remark Code
304,Denied. This service is not authorized. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"A1, 197",N578
305,This transaction has been taken to correct the file per a special request.,NULL,CO,"P12, 137",NULL
306,Current charges are being processed. Submit an itemized billing for the balance forward amounts,NULL,CO,16,N232
307,Corrections to this bill (ICN) have been made per your request.,NULL,CO,129,MA67
308,Denied. This service is not an authorized vocational expense.,NULL,NULL,NULL,NULL
309,Charges previously paid for this date. If this is not a duplicate submit adjustment to paid bill.,NULL,CO,"18, B13",NULL
310,Denied. Service was before or after the dates authorized for the pain clinic program.,NULL,CO,A1,N54
311,Denied. A pain program has not been authorized for this injured worker.,NULL,CO,"A1, 197 N683,",N578
312,This transaction cancels interim payment credit balance for this provider number.,NULL,CR,P12,NULL
313,This transaction reflects interim payment credit balance refund and corrects year to date info.,NULL,CR,P12,NULL
314,This transaction reduces the interim payment credit balance for this provider number.,NULL,CR,P12,NULL
315,This travel related expense is denied in accordance with L& policy.,I,NULL,NULL NULL,NULL
316,This is a history adjustment to correct an error in firm number and class.,NULL,OA,P12,NULL
317,"Denied. The principal, admitting or patient's reason for visit diagnosis code denotes a non-industrial condition or is not sufficiently specific.",70,CO,A1,M64
318,Denied. Office visit includes manipulation.,NULL,CO,"97, B15",NULL
319,"Revenue code, cover dates or prior authorization (PA) number are incompatible with the type of bill.  Rebill.",NULL,CO,16,M50
320,Note claim number and your provider number. These are required on all bills sent to the L&I. MA92 EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,"N290,"
321,Revenue code(s) invalid for date(s) of service billed. Rebill with correct codes.,NULL,CO,16,M50
322,Denied. Service is in violation of specific restrictions imposed by the Department of Licensing.,NULL,CO,A1,N665
323,This procedure code wasn't valid at time of service. Refer to the latest fee schedule revision.,NULL,CO,181,M67
324,Denied. Bill and reports indicate services were provided for a new injury/incident.,NULL,CO,A1,N576
325,An adjusted bill paid without deducting the original bill. This is a corrective action.,NULL,CR,129,MA67
326,Denied. This service or drug is not allowed for treatment of industrial injuries.,70,CO,"96, A1",N643
327,Denied. No report received from the attending doctor to justify authorization of this service.,NULL,CO,"226, A1",N463
328,Denied. Injured worker age and/or sex invalid for this procedure or diagnosis.,NULL,CO,"6, 7, 9, 10",NULL
329,This adjustment is the result of an independent audit of charges for the service(s).,NULL,CR,216,NULL
330,Denied. This procedure was not included as a part of the approved program for this provider.,NULL,CO,B5,NULL
331,Please refer to the billing instructions provided by L&I.,NULL,NULL,NULL,NULL
332,Denied. The type of service and/or procedure is not authorized for this provider type.,NULL,CO,171,N95
333,Do not bill several procedures/diagnoses/dates in one line. These will be denied in the future.,NULL,CO,16,N21
334,These services were not medically necessary.,NULL,CO,50,NULL
335,Please note the payee number. You must use this number when billing for pain clinic services.,NULL,CO,16,N77
336,"Provider number, NPI and/or name used were incorrect. Note correction(s) and use on future billings. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code",NULL,CO,16,N77
337,This is a repayment. You submitted a refund for services which we are unable to identify.,NULL,CR,P12,NULL
338,This is a repayment. You submitted a refund in excess of what was required.,NULL,CR,P12,NULL
339,Bill returned to provider with application required to establish provider number.,NULL,CO,16,N202
340,Denied. Submit bill on original L&I approved form. Photocopies cannot be processed.,NULL,CO,16,N34
341,Side of body code is required for this diagnosis.,NULL,CO,16,M76
342,This diagnosis is not acceptable. L&I requires use of a more specific ICD.,NULL,CO,167,M81
343,Denied. Interpreters must have prior authorization and bill L&I directly.,NULL,CO,"A1, 197 N683,",N54
344,"Denied. The ICD diagnosis code is missing, invalid for first date of service or an E-code.",NULL,CO,A1,M64
345,Denied. Special exam and/or L&I investigation relating this condition to the injury is pending.,NULL,CO,"133, A1",N581
346,Full DRG payment for inpatient stay made on this ICN.,NULL,CO,45,NULL
347,Denied. Rebill therapy on outpatient bill. Submit other charges as adjustment to inpatient bill,NULL,CO,"16, A1",N34
348,Please note the provider number and use it on current bill forms you submit for hospital services.,NULL,CO,16,N77
349,Denied. This service is not payable in addition to code 90676 or 90677.,"90670,  NULL",CO,A1,N20
350,Report is required when this procedure and/or modifier code is billed. No report was received.,NULL,CO,"252 N706,",N714
351,Denied. Incorrect revenue code used for the described service billed.,NULL,CO,A1,M50
352,This ICN paid at $0.00. Full DRG payment for this inpatient stay made on separate ICN. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,B13,NULL
353,Denied. Code must be authorized before payment can be made. Call 800-848-0811 for authorization.,NULL,CO,"A1, 197",N683
354,"Denied. Bill/documentation detail is incomplete, invalid or missing.",NULL,CO,"16, A1 N730,",N34
355,The tooth number on your billing is invalid. It must be in the range 01 through 32.,NULL,CO,"16, A1",N37
356,The tooth number is required for this procedure and was not on your submitted billing.,NULL,CO,"16, A1",N37
357,Payment processed. Future medical travel requires prior approval. Contact your Claim Manager.,NULL,NULL,NULL,NULL
358,Services provided are not greater than those usually required for the listed procedure.,NULL,CO,"P12, 45",NULL
359,These services are generally provided as an adjunct to common medical services.,NULL,CO,97,N20
360,Circumstances do not clearly warrant additional charge beyond usual charge for basic service.,NULL,CO,"P12, 45",NULL
361,Calls and/or conferences with injured worker's attorney are not necessary medical services.,NULL,CO,50,NULL
362,Denied. The distance traveled does not justify payment of this meal.,NULL,NULL,NULL,NULL
363,Payment of service(s) made at L&I maximum allowable rate(s).,NULL,CO,"P12, 45",NULL
364,Payment made for the actual cost of service indicated on the receipt(s) attached to your bill.,NULL,NULL,NULL,NULL
365,Denied. This place of service is not authorized for this procedure.,NULL,CO,"5, A1 N428,",M77
366,Denied. The provider specialty on the L&I record does not include this service.,NULL,CO,"8, A1",N95
367,The revenue code billed is invalid.,NULL,CO,A1,M50
368,The charges for pain program services have been allowed as billed. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,20,NULL
369,Transport/professional services rebill on CMS-1500. Others invalid or not authorized for workers.,NULL,NULL,NULL,NULL
370,Adjudicated per agreement/contract.,NULL,CO,45,N381
371,"Denied. Service must be billed as office call, which includes treatment of the day.",NULL,CO,"A1, 97",N20
372,We have received information verifying that the service billed was not performed.,NULL,CO,"115, B12",N10
373,Denied. This drug requires prior authorization. For authorization call 1-888-443-6798.,NULL,CO,"A1, 197",N683
374,Full flat fee paid for major condition/procedure; lesser condition/procedure paid at percentage.,NULL,CO,"P12, 45",NULL
375,Allowed as office call which includes care of the day per the Maximum Fee Schedule.,NULL,CO,"97, 45",NULL
376,Paid previously to the injured worker. It is his/her responsibility to reimburse you for this service.,NULL,PR,100,NULL
377,Interest not allowed. Criteria for submission and/or bill data has not been met.,NULL,CO,"85, 96",NULL
378,This bill does not meet the criteria established by L&I for interest payment.,NULL,CO,"85, 96",NULL
379,This line item is for payment of interest.,NULL,CO,85,NULL
380,Payment recouped/denied. Include non-therapy outpatient services on resubmitted inpatient bill.,NULL,CR,16,N34
381,This bill is not payable at this time. The claim is in abeyance pending further determination.,NULL,CO,133,NULL
382,Denied. Incremental nursing charge rates must be billed with revenue code 23X.,NULL,CO,"16, A1",M50
383,This line item deducted. Include charge on inpatient bill to be resubmitted L&I.,NULL,CO,A1,N34
384,Denied. The revenue code billed does not match the description of the services rendered. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,M50
385,Denied. Maximum allowed payment has already been made per contract or agreement.,NULL,CO,45,NULL
386,Payment not made on this bill. This service(s) is duplicated on another bill in process.,NULL,CO,"18, B13",NULL
387,The original bill was correctly adjudicated/processed; an adjustment to it is not allowable.,NULL,CO,193,NULL
388,Additional payment for treatment to contiguous area is not allowed.,NULL,CO,A1,N20
389,Procedure code changed to more closely reflect service indicated. Please note for future billing,NULL,CO,65,NULL
390,Denied. A report is required when billing for this service or procedure.,NULL,CO,"A1, 252",N463
391,This is an adjustment to correct a previously adjudicated/processed bill.,NULL,CR,129,MA67
392,Payment for this service has been made to the provider. Contact them for reimbursement.,NULL,OA,B20,NULL
393,Services in this date span were previously paid. No substantiation for added charges received.,NULL,CO,B13,N443
394,Denied. This service is not covered by L&I.  Injured worker is responsible.,NULL,PR,96,NULL
395,Time span for psychiatric exam not supplied on bill. Paid as one hour.,NULL,CO,"16, 122",N443
396,Payment delay caused by the use of the same procedure code for overlapping dates of service.,NULL,CO,16,MA31
397,These charges have been included for payment and processed on another bill.,NULL,CO,B13,NULL
398,Denied. Invalid data entered in claim number field.,NULL,CO,"16, A1",MA61
399,New incident unrelated to industrial injury. Bill injured worker on private non-industrial basis.,NULL,PR,"109, A1 N576,",N578
400,There was no notification of this admit. The bill is referred to utilitzation review (UR) vendor for possible audit. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,133,NULL
401,The provider master records indicate this provider number was terminated due to invalid/address,40,CO,B7,N290
402,"Denied. When billing this code, a description must be in remarks or on the bill.",NULL,CO,16,MA69
403,Denied. Resubmit bill using your pain clinic provider number.,NULL,CO,"8, A1",N290
404,Provider number is not active for dos billed. For information to update go to http://www.lni.wa.gov/ClaimsIns/Providers/Becoming/Networ k/Default.asp,40,CO,"B7, A1",N612
405,Rebill:  Performing provider name/number and group name must be in box 31 or 33 on new bill form.,NULL,CO,"16 N290,",N289
406,"Denied. Provider does not have a valid, active license for service dates billed.",40,CO,"B7, A1 N665,",N143
407,Bill not payable at this time/reopening is in provisional status pending further determination.,NULL,CO,133,NULL
408,Payment made for treatment of allowed condition(s) only. Bill injured worker for noncovered treatment.,NULL,PR,35,NULL
409,Compounded prescription only paid. Rebill non-NDC items on Statement for Miscellaneous Services bill form.,NULL,CO,16,N34
410,Total mileage charge calculated at the current L&I rate.,NULL,CO,P12,NULL
411,Rejection of this claim has been overturned. Claim has now  NULL CO 19 ma23 been allowed by L&I.,NULL,NULL,NULL,NULL
412,Claim is in appeal process before the Board of Industrial Insurance Appeals (BIIA). Please rebill services after change in claim status.,NULL,CO,133,NULL
413,Denied. Professional interpret of this service payable only if test done in inpatient setting.,NULL,CO,96,NULL
414,Repayment due to audit decision that has been reversed by L&I.,NULL,CR,137,N11
415,Bill has been paid by A-19. Questions concerning this transaction should contact deduct desk. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,P12,NULL
416,Denied. This reopening application has been billed by and paid to the attending physician of record.,NULL,CO,"18, A1",NULL
417,Denied. These services need to be rebilled under the appropriate claim number.,NULL,CO,"31, A1",MA61
418,Payment made to correct your account for the duplicate refund submitted to L&I.,NULL,CR,129,MA67
419,There were no duplicate payments. You were posting from a credit balance remittance advice.,NULL,CR,P12,NULL
420,Deduction taken. Treatment rendered after 30 visit maximum.,NULL,CR,"P12, 45",N362
421,Please refer to the notification of potential DRG sent in regard to this bill.,NULL,NULL,NULL,NULL
422,"Denied. Only procedures 99080, 99083 and 99084 are payable under this provider number.",NULL,CO,"8, A1",M51
423,Lack of the provider number will result in delayed payment and/or return of your bills.,NULL,CO,16,N290
424,Denied. Compensation not payable when the time lost from work was less than 4 hours.,NULL,NULL,NULL,NULL
425,Note the correction to this ICD diagnosis code. The code was incorrectly billed.,NULL,CO,16,M64
426,Denied. This code is not payable in combination with codes 97530 or 97531.,NULL,CO,"96, A1",N20
427,Bill suspended. Submitter not authorized to submit bills for this provider. Call 360-902-6511.,NULL,CO,16,N51
428,Outpatient service within 24 hrs of an admit paid by method is considered already paid.,DRG,NULL,CO 60,NULL
429,Denied. Services requested by the injured worker's attorney must be billed to the attorney.,NULL,CO,"109, B1, A1 N643,",N578
430,Denied. Consultation code not payable to a practitioner providing ongoing care.,NULL,CO,"96, A1",N637
431,Autopsy bill with no claim number.  Refer to service date and first 2 letters of last name to identify. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,MA86
432,50% of allowable charges paid. Bill balance to employer under self insured claim number.,NULL,OA,"35,20",NULL
433,"Denied. If service rendered was a rating exam, rebill with procedure code 1106M.",NULL,CO,A1,M67
434,Denied. Tax not payable when related charges are denied.,NULL,CO,"96, A1",N356
435,Maximum allowable fee for this service has been paid. Payment for this line item is reduced.,NULL,CO,"P12, 45",NULL
436,Prior authorization (PA) number on bill invalid for this claim number and/or admit.,NULL,CO,15,N54
437,"Denied per WAC 296-20-03001, no more than 6 injections will be authorized per injured worker.",NULL,CO,35,NULL
438,Bill paid. Please remove injured worker from collections.,NULL,NULL,NULL,NULL
439,Denied. Massage services that are part of a treatment plan ordered by a doctor are exempt from tax.,NULL,CO,"96, A1",N578
440,Denied. Provider's application to treat injured workers has been denied.,40,CO,"B7, A1",N612
441,Denied. Bills for copies of records must be submitted by the provider performing the service.,NULL,CO,A1,N55
442,Denied. Provider was suspended or was not enrolled on date of service.,40,CO,B7,NULL
443,Missing/Invalid patient paid amount. Clmt paid amount is greater than total charge or clmt reimbursement submitted by third party is not allowed.,DX,NULL,NULL,NULL
444,Refund made as a result of audit penalty imposed on the provider.,NULL,CR,P12,NULL
445,Denied. Claim ID field has blanks and/or invalid data. Call 1-,7,CO,140,MA61
800,-831-5227 to confirm claim ID.,NULL,NULL,NULL,NULL
446,Denied. This bill was in the bill suspense file for over 2 years and has become outdated.,NULL,CO,A1,N246
447,Denied. This supply/service is bundled into another procedure. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,NULL,M15
448,Base code paid within endoscopic arthroscopic family code.,NULL,CO,"B13, 97",M15
449,Denied. No retraining bills are payable during a plan interrupt.,NULL,NULL,NULL,NULL
450,Denied. The admittance date is not within the date span for the billed notification (PA) number,NULL,CO,"15 MA40,",N54
451,Denied. The 10 digit prior authorization (PA) number is for an admission denied by L&I Claim Manager.,NULL,CO,A1,M62
452,Denied. The prior authorization (PA) number on the bill is not a valid number for this claim.,NULL,CO,"15, A1",N54
453,Denied. L&I has not received the required documentation for this admission.,NULL,CO,"16, A1",N29
454,"For admit dates of July 18, 1988 and after include the prior authorization number in field 91.",NULL,NULL,NULL,NULL
455,Outpatient service within 24 hrs of an admit must be billed as inpatient on the inpatient bill.,NULL,CO,60,M2
456,This readmission/transfer has been denied as a result of a medical review.,NULL,CO,A1,N35
457,Denied. CPT coding was on the bill. Pain clinic service must be billed by revenue code.,NULL,CO,"A1, 16",M50
458,We have changed the units billed to 1 and paid the procedure at the rate for 1 unit of service.,NULL,CO,226,M53
459,Excessive units of service were billed.  Enter 1 unit for each time the procedure was performed.,NULL,CO,P12,M53
460,Denied. A telephone call to your office verified that errors were made in the charges billed.,NULL,CO,"A1, 16",MA62
461,Denied. Immunization procedures include the cost of materials.,NULL,CO,97,M14
462,Denied. Procedure 97261 is payable only when an additional area of the body is manipulated.,NULL,CO,"A1, 96",NULL
463,Denied. Payment for room accommodation charge for the date of discharge is not payable. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"96, A1",N153
464,Per medical review the billed discharge status was corrected and payment made accordingly.,NULL,CO,P12,N10
465,Please rebill ambulance service on a CMS-1500 form using your professional service provider number.,NULL,CO,"16 N34,",N77
466,"Denied. Please submit request for interest including justification, to MIPS at mail ident.4203",NULL,CO,"85, A1",N517
467,Denied. Use code 97201 to bill for added service or time. Submit an adjustment to this bill.,NULL,CO,A1,N517
468,Denied. This service is not payable when billed with codes 97124/97125 or 97200/97201.,NULL,CO,"A1, 96",N20
469,This request for interest payment has been forwarded to our fiscal unit for payment.,NULL,OA,"85, B11",NULL
470,Denied. Please resubmit this inpatient bill with the required attachments.,NULL,CO,A1,N29
471,Denied. Revenue code needs CPT/HCPCS procedure code for APG assignment - procedure code missing.,NULL,CO,"16, A1",M20
472,Denied per your affidavit stating that you were not entitled to payment for this service.,NULL,CO,A1,MA46
473,Denied. Procedure 99025 payable only in conjunction with starred (*) CPT surgical codes.,NULL,CO,"A1, 16",M51
474,There was no notification of this admit. The bill is referred to AUGMED for possible audit. LONGER IN EFFECT,NO,NULL,NULL,NULL
475,Returned. The provider number and the name on the bill do not match.,NULL,CO,A1,N77
476,Thank you. Your effort to provide information needed to process this transaction is appreciated,NULL,NULL,NULL,NULL
477,Denied. Units of service are invalid. Please rebill with correct unit/hours.,NULL,CO,"16, A1",M53
478,Denied. Missed appointment was cancelled 3 or more days prior to the appointment date. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"B1, A1",N441
479,"POAC retroactively adjusted to conform with July 1, 1993 effective date. Refer to 6/1/93 memo.",NULL,NULL,NULL,NULL
480,"As of last cut-off date, this bill was on the provider's direct entry suspense file.",NULL,CO,133,NULL
481,Denied. Sixth diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
482,Denied. Seventh diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
483,Denied. Eighth diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
484,Denied. Ninth diagnosis code is not sufficiently specific.,NULL,CO,"16, A1",M81
485,Denied. Sixth diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
486,Denied. Seventh diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
487,Denied. Eighth diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
488,Denied. Ninth diagnosis denotes a non-industrial condition or is not sufficiently specific.,NULL,CO,"16, A1",M81
489,Denied. Sixth ICD diagnosis code is invalid for first date of service.,NULL,CO,"16, A1",M64
490,Denied. Seventh ICD diagnosis code is invalid for first date of service..,NULL,CO,"16, A1",M64
491,Denied. Eighth ICD diagnosis code is invalid for first date of service.,NULL,CO,"16, A1",M64
492,Denied. Ninth ICD diagnosis code is invalid for first date of service.,NULL,CO,"16, A1",M64
493,Denied. Revenue code needs CPT/HCPCS procedure code for APG assignment - procedure code invalid.,NULL,CO,"16, A1",M20
495,Denied.  Services not requested.,NULL,CO,A1,N629
497,Employer reimbursed by hand warrant for payment of this bill.,NULL,OA,100,NULL
498,An adjustment to this bill is in process and will appear on a future remittance advice. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,87,CR,P12,NULL
499,Denied. Procedure previously paid for date(s) of service. Submit adjustment to paid bill.,NULL,CO,B13,NULL
500,Date(s) of service on this bill have been changed to correspond with the retraining approval.,NULL,NULL,NULL,NULL
501,Denied. Service was rendered outside of the authorized time period.,NULL,CO,"A1, 198",N54
502,Payment made at amount authorized for this retraining procedure code.,NULL,NULL,NULL,NULL
503,Denied. The legal maximum of $4000 for retraining has been expended.,NULL,NULL,NULL,NULL
504,Approval of additional funds allows payment of previously denied or reduced bill.,NULL,CR,P12,NULL
505,Denied. This revenue code is invalid for outpatient service.,NULL,CO,A1,M50
506,Paid at a reduced rate. Procedure not authorized on an inpatient basis.,NULL,CO,P13,N54
507,Denied. Retraining plan not approved on this claim.,NULL,NULL,NULL,NULL
508,Please bill modifier -27 with any dates of service prior to 9-1- 93.,NULL,NULL,NULL,NULL
509,Pharmacy submitted injured worker reimbursement. Injured worker will be reimbursed for payment.,84,NULL,NULL,NULL
510,Denied. No balance remains in approved funds for this procedure. Contact vocational counselor.,NULL,NULL,NULL,NULL
511,Denied. L&I records do not contain approval of retraining services for this claim.,NULL,NULL,NULL,NULL
512,Prescription bill reversal submitted by pharmacy.,NULL,CO,P12,N694
513,Prescribing provider not authorized for this claim. Bill not paid.,71,CO,"A1, 15",N31
514,Denied. Drug refill too soon,79,CO,"A1, B5",N668
515,Accident claim not yet allowed. Point of Sale bill denied pending claim allowance.,67,CO,A1,N30
516,Denied. Services not requested. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,N629
550,Please read your remittance advice newsletter dated 6-08- 93 re: name & number do not match.,NULL,NULL,NULL,NULL
555,Tax computation adjusted and paid to reflect payment of 14. 1 percent multiplied by CHG billed.,NULL,CO,P12,NULL
556,Denied. L&I does not accept minus charges.,NULL,CO,96,NULL
559,"Action is being taken.  Do not send rebill, adjustment or appeal until you receive notice of payment decision.  After 60 days call L&I 800-848-0811.",NULL,CO,133,NULL
560,Injured worker's accident rejected by L&I State Fund and service not authorized. Contact the injured worker.,65,PR,"109, A1 N643,",N584
561,Denied. Surgical tray is not payable with the procedure billed.,NULL,CO,96,N20
562,Avoid possible bill rejection. Please contact your nearest service location for current bill forms.,NULL,NULL,NULL,NULL
566,Manually priced due to other surgery bills with same date. Modifiers are ranked within bill only.,NULL,CO,"59, 45",N10
580,Denied. Service payable at intervals of no less than 6 months. See WA RBRVS payment policies.,NULL,CO,"A1, P12",N640
582,,NULL,NULL,NULL,NULL
583,Denied.  This is not a managed care pilot claim.  Rebill using your non-managed care provider #.,NULL,CO,16,N290
589,Codes not payable in combination. Rebill exam with codes in range of 90671-90695 or Z0001-Z0045,NULL,CO,A1,N20
598,"Action is being taken.  Do not send rebill, adjustment or appeal until you receive notice of payment decision.  After 60 days call L&I 800-848-0811.",NULL,CO,133,NULL
599,"Action is being taken.  Do not send rebill, adjustment or appeal until you receive notice of payment decision.  After 60 days call L&I 800-848-0811.",NULL,CO,133,NULL
600,Return letter for inpatient hospital bills containing multiple charges for unrelated conditions. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
601,Return letter for inpatient hospital bills containing multiple charges during a period of claim closure.,NULL,NULL,NULL,NULL
602,Return letter for inpatient bills where CPT procedure codes have been used instead of ICD.,NULL,NULL,NULL,NULL
603,Return letter for returning non-payable bills to unlicensed providers.,NULL,NULL,NULL,NULL
604,Return letter for ungrouped CPT codes on hospital bills.,NULL,NULL,NULL,NULL
605,Letter to return adjustment requests for hospital bills previously adjusted as a result of an independent audit.,NULL,NULL,NULL,NULL
606,"Return letter (for providers) explaining that L&I is not ""co- pay"".",NULL,NULL,NULL,NULL
607,Return letter for inpatient DRG interim bill.,NULL,NULL,NULL,NULL
608,"Return letter (for workers) explaining that L&I is not ""co-pay"".",NULL,NULL,NULL,NULL
609,Return letter for invalid inpatient hospital ICD codes.,NULL,NULL,NULL,NULL
610,Return letter for problem with principal (first) diagnosis on hospital bill.,NULL,NULL,NULL,NULL
611,Return letter for hospital bill with invalid data.,NULL,NULL,NULL,NULL
612,Return letter for inpatient hospital bill with invalid age or sex- code data.,NULL,NULL,NULL,NULL
613,Return letter for skilled nursing facility charge submitted on a UB92.,NULL,NULL,NULL,NULL
614,Return letter for inpatient hospital bills that have invalid data and DRG cannot be assigned.,NULL,NULL,NULL,NULL
617,Return letter for possible duplicate bill.,NULL,NULL,NULL,NULL
621,Return letter for late charges that must be requested by adjustment to previously paid bill.,NULL,NULL,NULL,NULL
622,Return letter for inpatient bill with invalid units of service for room charges.,NULL,NULL,NULL,NULL
623,Return letter for IP bill submitted without prior notification and selected for audit. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
624,Return letter for IP bill regarding admit & discharge dates being equal.,NULL,NULL,NULL,NULL
625,Letter to return adjustment requests for hospital bills previously adjusted as a result of an,NULL,NULL,NULL,NULL
626,Return letter for inpatient bill with invalid units of service for room charges.,NULL,NULL,NULL,NULL
628,Return Letter for denied services on Managed Care Claims.,NULL,NULL,NULL,NULL
629,"Rtn ltr for bills submitted on wrong bill form. Provider instructed to resubmit charges using the Department's ""Statement for Miscellaneous Svcs"" form.",NULL,NULL,NULL,NULL
630,Return letter for negative charges billed. Provider instructed to resubmit bill listing only charges for treatment rendered.,NULL,NULL,NULL,NULL
631,Return letter for bill that is not related to a Washington State Worker's Compensation claim.,NULL,NULL,NULL,NULL
632,Return letter for compounded prescriptions billed on wrong bill form.,NULL,NULL,NULL,NULL
633,Return letter for IP bill with incorrect information.,NULL,NULL,NULL,NULL
634,Return letter for IP bill for services submitted within 24 hours.,NULL,NULL,NULL,NULL
635,"Return letter for bill using ""old"" and ""new"" IME codes. Provider instructed to resubmit bill using only one type of procedure code.",NULL,NULL,NULL,NULL
636,Return letter for IP bill regarding admit & discharge dates being equal.,NULL,NULL,NULL,NULL
637,Return letter for IP bill for incorrect information on bill.,NULL,NULL,NULL,NULL
640,Return letter for IME bill. Another bill for this date of service was previously paid under different procedure codes.,NULL,NULL,NULL,NULL
641,Return letter for bill using out-of-date procedure code for a disability rating or an IME. Provider instructed to refer to current IME handbook.,NULL,NULL,NULL,NULL
645,Return letter for compound drugs billed incorrectly. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
650,Return letter for vocational travel expense billings with incomplete or missing information.,NULL,NULL,NULL,NULL
651,Return letter for hospital bills that don't have itemized detail.,NULL,NULL,NULL,NULL
653,Return letter for bills submitted for which no claim exists in the Department for claimant name listed on the bill and/or date of injury.,NULL,NULL,NULL,NULL
654,Rtn ltr for Misc & HCFA billing which have multiple missing/invalid detail including billing which is for more than 1 claim # and svcs submitted on single bill.,NULL,NULL,NULL,NULL
655,Rtn ltr for IH hospital bills which have multiple missing detail including billing which is for more than 1 claim # and svcs submitted on a single bill.,NULL,NULL,NULL,NULL
656,Rtn ltr for pharmacy bills which have multiple missing/invalid detail including billing which is for more than 1 claim # & svcs submitted on a single bill.,NULL,NULL,NULL,NULL
657,Rtn ltr for claimant travel bills which have multiple missing detail including billing which is for more than 1 claim # & services submitted on a single bill.,NULL,NULL,NULL,NULL
658,Rtn ltr for bills received on wrong bill form including billing which is for more than 1 claim # and services submitted on a single bill.,NULL,NULL,NULL,NULL
659,Rtn ltr for hospital bills which did not have a summary charge sheet of revenue codes with corresponding total chge for each code or do not have rpts.,NULL,NULL,NULL,NULL
660,Return letter for vocational bills on which too many line items have been included in a bill space.,NULL,NULL,NULL,NULL
661,Return letter for bill on claims in abeyance.,NULL,NULL,NULL,NULL
662,"Rtn ltr for possible dup bills when the previously paid bill was paid for a date range, by summary detail. The current bill possibly includes some of the same svc dts and we are unable to determine. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code",NULL,NULL,NULL,NULL
663,Return letter for travel vouchers.,NULL,NULL,NULL,NULL
664,Return letter for lines that are illegible/unreadable.,NULL,NULL,NULL,NULL
665,Return letter to claimant who has requested reimbursement for services which he paid.,NULL,NULL,NULL,NULL
666,Return letter for bills with dates of service greater than 12 months old.,NULL,NULL,NULL,NULL
667,Return letter to claimant or provider who has requested reimbursement or billed for services on a self-insured claim.,NULL,NULL,NULL,NULL
668,Return letter for claims before the appeals board.,NULL,NULL,NULL,NULL
669,Return letter for claims where reopening action is pending.,NULL,NULL,NULL,NULL
670,Blank return letter.,NULL,NULL,NULL,NULL
671,Return letter for hospital bills whose charges need separation for unrelated conditions.,NULL,NULL,NULL,NULL
672,Letter for returning bills for unitemized CPT codes.,NULL,NULL,NULL,NULL
673,Return letter for prescription reimbursement to claimant for drug which requires authorization by the claim manager.,NULL,NULL,NULL,NULL
674,Return letter for claimant reimbursement with charges for services over 12 months old.,NULL,NULL,NULL,NULL
675,Return letter for pharmacy bill with charges for services over 12 months old.,NULL,NULL,NULL,NULL
680,Return letter for bill submitted for an injured worker who was employed by Mayr Brothers at the time they were a self- insured employer.,NULL,NULL,NULL,NULL
698,Return letter for bill which includes charges for services rendered during period claim closure.,NULL,NULL,NULL,NULL
699,Return letter for bill which includes charges for services rendered over 12 months ago.,NULL,NULL,NULL,NULL
700,Interest is the result of an audit.,NULL,CR,"225 N10,",N199
701,Denied. The amount of hours missed from work are not clear. Please correct and resubmit. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
702,Procedure billed not allowed in combination with other code billed for this dos. Refer to current fee schedule.,NULL,CO,A1,N20
703,Adjusted. Only 1 unit of service allowed per day. Refer to current fee schedule.,NULL,CR,"P12, 45",N362
704,Denied. Only 1 unit of service allowed per day. Refer to current fee schedule.,NULL,CO,"P12, A1, 45",N362
740,Denied. Supplies should be billed using the appropriate revenue code(s).,NULL,CO,"16, A1",M50
